"feature","issue","session_range","date","commit_sha","sha_verified","description"
"Descendant-inclusive pedigree filtering","#35","68-69","2026-06-13","d4320643",TRUE,"The Pedigree Browser's \"trim to focal animals\" option now includes descendants as well as ancestors"
"Configurable auto-generated unknown-ID format","#44 (umbrella of #26/#32/#38)","70-72","2026-06-13","14c8e84d",TRUE,"Single source-of-truth `getAutoIdFormat()`/`setAutoIdFormat()` (default \"U%04d\", byte-identical unconfigured) replaces 8 literal \"U\"-prefix checks"
"Gestation-derived parent-candidate window","#31 (umbrella #45)","74","2026-06-14","0eeee3f6",TRUE,"`getPotentialParents()`'s dam-exclusion window is derived from each species' actual gestation length instead of a fixed heuristic"
"Potential Parents Shiny tab","#48 (umbrella #45)","80-81","2026-06-15",NA,NA,"New `modPotentialParents` module surfaces `getPotentialParents()` in the app: a sortable candidate-parent table with CSV download"
"ORIP grant-reporting tab wired in and ONPRC-gated","#47 / #49","83-84","2026-06-15",NA,NA,"The pre-existing but never-mounted modORIPReporting module (site info, colony summary, genetic-diversity metrics, CSV downloads) is mounted, gated to ONPRC"
"Species as a first-class pedigree attribute","#46","165-169","2026-06-22",NA,NA,"A `species` column now drives species-keyed gestation windows and UI defaults, replacing a rhesus-only hardcoded scalar"
"Mean-kinship correction for animals with an unknown parent","#9 (3 slices)","176-181","2026-06-22 to 2026-06-23",NA,NA,"Genetic Value Analysis classifies each animal's parentage and corrects mean kinship / demotes both-unknown founders in the displayed rank"
"Species-configurable reproductive-parameter table + user overrides","#73 (Parts 1-2)","182-189","2026-06-23 to 2026-06-24",NA,NA,"A 14-species minimum-breeding-age/gestation table backs Genetic Value Analysis and Potential Parents defaults, with per-session user overrides"
"Genome-uniqueness de-inflation for unknown-origin founders","#76","191-192","2026-06-24",NA,NA,"Genome uniqueness (gu) reports 0, not an inflated score, for both-unknown-parentage \"Undetermined\" founders"
"Founder genome equivalents reported with sampling uncertainty","#82","208-209","2026-06-26",NA,NA,"`reportGV()` gains an `fgSE` column alongside `fg`, quantifying the estimate's sampling uncertainty"
"Genetic Diversity stoplight-heatmap dashboard","#112 (4 slices)","280-283","2026-07-05 to 2026-07-06",NA,NA,"New `modGeneticDiversity` Shiny tab renders a group x metric red/yellow/green heatmap (proportion-low, origin, production, inbreeding-risk)"
"Species-specific minimum breeding ages, end to end","#119 (5 slices)","303-307","2026-07-07",NA,NA,"Replaces a single flat minParentAge=2 default with sex- and species-specific minSireAge/minDamAge floors across QC, matching, and the Shiny UI"
"Effective population size (Ne) estimates","#118 (4 slices)","310-313","2026-07-07 to 2026-07-08",NA,NA,"New exports (gene diversity, sex-ratio Ne, variance Ne) surface a colony's effective, not just census, population size"
